1,1,0.18042,0.46042,0.61542,0.76042,0.97542
1,2,0.12591,0.20091,0.28591,0.37091,0.41091,0.49591,0.58091,0.71091
1,3,0.14817,0.21317,0.30817,0.45317,0.52317,0.63317,0.69817,0.77317
1,4,0.138,0.183,0.253,0.298,0.328,0.388
1,5,0.10634,0.13634,0.19634,0.24634,0.27634,0.31634,0.37634
1,6,0.13336,0.24836,0.38836,0.53336,0.64836,0.72336
1,7,0.10838,0.14338,0.28338,0.39338,0.50338,0.70838,0.79838
0,1,0.6481
0,6,0.15138,0.5997
4,2,1.0243
3,1,0.0056721
3,2,0.0064301
3,3,0.013948
3,4,0.0050298
3,5,0.0050123
3,6,0.0060362
3,7,0.0082976
